Burrough Hill c.p. SK766115,SK766115, 476600, 311500,-0.867990160393892,52.6957916444401,01/12/1990,F,27/12/2007,
Burton Joyce/Co-Op. SK648438,SK648438, 464800, 343800,-1.03616362992234,52.9876466543395,01/12/1990,F,27/12/2007,
Calverton/St. Wilfhed's Square SK616492,SK616492, 461600, 349200,-1.0827970025978,53.036558216343,01/12/1990,F,27/12/2007,
Car Colston/ Green SK718427,SK718427, 471800, 342700,-0.932150765194265,52.9768709605363,01/12/1990,F,27/12/2007,
Car Top layby A612 SK287768,SK287768, 428700, 376800,-1.57095284410826,53.287413815901,01/12/1990,F,27/12/2007,
Carlton Lees c.p. [NC ]SK259684,SK259684, 425900, 368400,-1.61363244886813,53.2120536192501,24/11/2002,F,27/12/2007,
"Carpenters Arms c.p. [NC], Dale Abbey SK436389",SK436389, 443600, 338900,-1.35259595589401,52.9457415475692,29/11/2002,F,27/12/2007,
Carsington Res. Sheepwash c.p. [NC ]SK249529,SK249529, 424900, 352900,-1.62980302532796,53.072775677557,01/12/1990,F,27/12/2007,
Castle Donington/ Clapgate St. c.p. SK448274,SK448274, 444800, 327400,-1.33631606387331,52.8422725429446,01/12/1990,F,27/12/2007,
Castle Ring c.p. SK045126,SK045126, 404500, 312600,-1.93482330072476,52.711061532282,01/12/1990,F,27/12/2007,
Castleton SK149829,SK149829, 414900, 382900,-1.77766875337322,53.3428075415151,01/12/1990,F,27/12/2007,
Caunton/ A616 layby SK742599,SK742599, 474200, 359900,-0.892461037583808,53.1311279273171,01/12/1990,F,27/12/2007,
Chapel/Station SK055795,SK055795, 405500, 379500,-1.91891105536794,53.3124249041462,01/12/1990,F,27/12/2007,
Chapel/Thornbrook Road SK060807,SK060807, 406000, 380700,-1.91138421528519,53.3232060621594,01/12/1990,F,27/12/2007,
Chapel-en-le-Frith/Old Station SK055808,SK055808, 405500, 380800,-1.91888890353867,53.3241102398355,01/12/1990,F,27/12/2007,
Cheddleton A520 layby SJ971512,SJ971512, 397100, 351200,-2.04471782129512,53.0580600144526,01/12/1990,F,27/12/2007,
Chinley Head layby SK049848,SK049848, 404900, 384800,-1.92783592928635,53.3600707215266,01/12/1990,F,27/12/2007,
Chinley Station SK038826,SK038826, 403800, 382600,-1.94439016785809,53.3403044388973,01/12/1990,F,27/12/2007,
Chunal Moor layby SK033908,SK033908, 403300, 390800,-1.95181547079443,53.4140144121557,01/12/1990,F,27/12/2007,
Church Gresley/Market St. SK298187,SK298187, 429800, 318700,-1.55979337420057,52.7651003740022,01/12/1990,F,27/12/2007,
Church Warsop/Carrs SK568686,SK568686, 456800, 368600,-1.15094397902797,53.2114559719449,01/12/1990,F,27/12/2007,
Clay Cross SK393634,SK393634, 439300, 363400,-1.41360471716634,53.1662939416988,01/12/1990,F,27/12/2007,
Clifton/ School SK167449,SK167449, 416700, 344900,-1.75260154289478,53.0011807559145,01/12/1990,F,27/12/2007,
Clipstone Forest/ Eakring Road SK620616,SK620616, 462000, 361600,-1.07444532853093,53.1479614157277,01/12/1990,F,27/12/2007,
Clipstone Forest/Culloden SK613644,SK613644, 461300, 364400,-1.08437507749464,53.1732082143991,01/12/1990,F,27/12/2007,
Clough Hollow P.S. SK285841,SK285841, 428500, 384100,-1.57329919089931,53.3530399604798,01/12/1990,F,27/12/2007,
Clough House SJ987699,SJ987699, 398700, 369900,-2.02092681454984,53.2261606387309,01/12/1990,F,27/12/2007,
Clowne/ North Rd. c.p. SK492758,SK492758, 449200, 375800,-1.26362526161381,53.2769283903965,01/12/1990,F,27/12/2007,
Clumber Park SK625744,SK625744, 462500, 374400,-1.06447027697782,53.2629455291621,01/12/1990,F,27/12/2007,
Coalville/James St. SK424140,SK424140, 442400, 314000,-1.37367383338375,52.7220135558121,01/12/1990,F,27/12/2007,
Codnor Market Place SK420497,SK420497, 442000, 349700,-1.37500627541338,53.0429462115909,01/12/1990,F,27/12/2007,
Colwick Country Park SK606399,SK606399, 460600, 339900,-1.09944773629992,52.9530844185901,01/12/1990,F,27/12/2007,
Combridge/ (Old Road) SK106379,SK106379, 410600, 337900,-1.84372380508263,52.93841043874,01/12/1990,F,27/12/2007,
Consall Nature Park SJ994484,SJ994484, 399400, 348400,-2.01039487208359,53.032898379352,01/12/1990,F,27/12/2007,
Cotgrave/Candlery La. SK648352,SK648352, 464800, 335200,-1.03787950857895,52.9103521033503,01/12/1990,F,27/12/2007,
Coton-in-Elms/Mill St SK246515,SK246515, 424600, 351500,-1.63438694136492,53.0602050663798,01/12/1990,F,27/12/2007,
